compose,service,image,image_policy,ports,network_mode,privileged,docker_socket,healthcheck,restart,read_only,cap_drop,resource_limits,env_names,env_files,volume_count
apps/mermaid-viewer/packaging/docker-compose.yml,mermaid-viewer,<build-only>,local-build,8092:80,compose-default,false,false,false,unless-stopped,false,,false,,,0
configs/docker-host/stacks/adguard-home/docker-compose.yml,adguard-home,adguard/adguardhome:latest,floating/logical-tag,192.168.20.102:53:53/tcp;192.168.20.102:53:53/udp;8080:80/tcp,compose-default,false,false,false,unless-stopped,false,,false,,,2
configs/docker-host/stacks/dozzle/docker-compose.yml,dozzle,amir20/dozzle:latest,floating/logical-tag,8081:8080,compose-default,false,true,false,unless-stopped,false,,false,,,1
configs/docker-host/stacks/gardenkeeper/docker-compose.yml,postgres,postgres:17-alpine,version-tagged,,compose-default,false,false,true,unless-stopped,false,,false,POSTGRES_DB;POSTGRES_PASSWORD;POSTGRES_USER,,1
configs/docker-host/stacks/gardenkeeper/docker-compose.yml,redis,redis:7-alpine,version-tagged,,compose-default,false,false,true,unless-stopped,false,,false,,,1
configs/docker-host/stacks/gardenkeeper/docker-compose.yml,api,<build-only>,local-build,8090:8090,compose-default,false,false,false,unless-stopped,false,,false,,.env,0
configs/docker-host/stacks/gardenkeeper/docker-compose.yml,worker,<build-only>,local-build,,compose-default,false,false,false,unless-stopped,false,,false,,.env,0
configs/docker-host/stacks/gardenkeeper/docker-compose.yml,web,<build-only>,local-build,8091:80,compose-default,false,false,false,unless-stopped,false,,false,,,0
configs/docker-host/stacks/grocy/docker-compose.yml,grocy,lscr.io/linuxserver/grocy:4.6.0,version-tagged,9283:80,compose-default,false,false,false,unless-stopped,false,,false,PGID;PUID;TZ,,1
configs/docker-host/stacks/homepage/docker-compose.yml,homepage,ghcr.io/gethomepage/homepage:latest,floating/logical-tag,3001:3000,compose-default,false,true,false,unless-stopped,false,,false,,,2
configs/docker-host/stacks/immich/docker-compose.yml,immich-server,ghcr.io/immich-app/immich-server:${IMMICH_VERSION:-release},version-tagged,2283:2283,compose-default,false,false,true,always,false,,false,,.env,2
configs/docker-host/stacks/immich/docker-compose.yml,immich-machine-learning,ghcr.io/immich-app/immich-machine-learning:${IMMICH_VERSION:-release},version-tagged,,compose-default,false,false,true,always,false,,false,,.env,1
