scope,object,path,line,kind,signal
current,WORKTREE,.obsidian/plugins/dataview/main.js,16191,credential-field,non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-git/main.js,147,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-git/main.js,154,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,6,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,high-entropy-non-placeholder
current,WORKTREE,.obsidian/plugins/obsidian-livesync/main.js,18,credential-field,high-entropy-non-placeholder
